 men | women | movies | year 
-----+-------+--------+------
 108 |    54 |     54 | 1930
 104 |    67 |     57 | 1931
 105 |    75 |     60 | 1932
 121 |    74 |     65 | 1933
 126 |    75 |     67 | 1934
 123 |    72 |     65 | 1935
 124 |    65 |     63 | 1936
 131 |    73 |     68 | 1937
 104 |    64 |     56 | 1938
 110 |    79 |     63 | 1939
 151 |    74 |     75 | 1940
 138 |    78 |     72 | 1941
 132 |    72 |     68 | 1942
 130 |    71 |     67 | 1943
 133 |    71 |     68 | 1944
 122 |    76 |     66 | 1945
 120 |    81 |     67 | 1946
 127 |    74 |     67 | 1947
 121 |    77 |     66 | 1948
 137 |    82 |     73 | 1949
 124 |    77 |     67 | 1950
 133 |    74 |     69 | 1951
 109 |    71 |     60 | 1952
 138 |    87 |     75 | 1953
 133 |    77 |     70 | 1954
 152 |    79 |     77 | 1955
 120 |    63 |     61 | 1956
 126 |    75 |     67 | 1957
 149 |    64 |     71 | 1958
 143 |    73 |     72 | 1959
 137 |    82 |     73 | 1960
 119 |    79 |     66 | 1961
 136 |    62 |     66 | 1962
 135 |    75 |     70 | 1963
 139 |    62 |     67 | 1964
 146 |    67 |     71 | 1965
 160 |    65 |     75 | 1966
 131 |    52 |     61 | 1967
 126 |    51 |     59 | 1968
 141 |    57 |     66 | 1969
 141 |    51 |     64 | 1970
 124 |    62 |     62 | 1971
 137 |    40 |     59 | 1972
 147 |    63 |     70 | 1973
 128 |    55 |     61 | 1974
 129 |    69 |     66 | 1975
 138 |    69 |     69 | 1976
 134 |    67 |     67 | 1977
 135 |    63 |     66 | 1978
 150 |    51 |     67 | 1979
 151 |    86 |     79 | 1980
 154 |    56 |     70 | 1981
 146 |    64 |     70 | 1982
 153 |    66 |     73 | 1983
 151 |    68 |     73 | 1984
 163 |    80 |     81 | 1985
 167 |    64 |     77 | 1986
 149 |    79 |     76 | 1987
 150 |    78 |     76 | 1988
 169 |    77 |     82 | 1989
 169 |    86 |     85 | 1990
 166 |    74 |     80 | 1991
 176 |    94 |     90 | 1992
 200 |    73 |     91 | 1993
 182 |    91 |     91 | 1994
 181 |    89 |     90 | 1995
 191 |    94 |     95 | 1996
 178 |    80 |     86 | 1997
 195 |    75 |     90 | 1998
 170 |    97 |     89 | 1999
 188 |    85 |     91 | 2000
 190 |    95 |     95 | 2001
 197 |    88 |     95 | 2002
 182 |   109 |     97 | 2003
 175 |   104 |     93 | 2004
 180 |    99 |     93 | 2005
 170 |    85 |     85 | 2006
 184 |    86 |     90 | 2007
 168 |    81 |     83 | 2008
 190 |    95 |     95 | 2009
 183 |    93 |     92 | 2010
 176 |   100 |     92 | 2011
 174 |    96 |     90 | 2012
 183 |    99 |     94 | 2013
 198 |    93 |     97 | 2014
 176 |   100 |     92 | 2015
 180 |    93 |     91 | 2016
 177 |    96 |     91 | 2017
(88 rows)

